Category,Project,Description,video,Observation,Github
OpenAI Video Processing,AI Video Translator,"Complete local AI-powered video translation system from Spanish to English using OpenAI Whisper, Helsinki-NLP transformers, and Edge TTS",https://youtu.be/7vLL4m7pgto,,
Medical AI,DICOM Anonymization,DICOM medical image anonymization using Microsoft Presidio,https://youtu.be/dK9Q0fnlEwU,,
Google AI,Video Summarizer,AI-powered video transcription and summarization with Gemini Pro,https://youtu.be/4RqgILHWPqM,,
Google AI,Content Caching,Google AI Context Caching optimization with Gemini API,https://youtu.be/DEeXu66e5fA,,
Azure AI,Azure AI Foundry Agent,Python application demonstrating Azure AI Foundry Agent Service for specialized agricultural data analysis with automated wheat production forecasting capabilities and comprehensive markdown report generation,https://youtu.be/gDVphfrnryg,,
Azure Multi-Agent,Multi-Agent Solution,"Enterprise-grade connected agents system for complex ticket processing with specialized sub-agents for triage, technical analysis, and customer communication using Azure AI Foundry",https://youtu.be/cQgHtXCKHDc,,
NVIDIA GPU Computing,Feature Engineering with GPU Acceleration,High-performance feature engineering for tabular data using RAPIDS cuDF and cuML with 100x+ speedup over traditional CPU-based approaches,https://youtu.be/AV6J__ZXEtk,,
Distributed OCR,NATS OCR System,Distributed OCR system with NATS messaging and RapidOCR,https://youtu.be/_fqkiBLue4Q,,
Financial RAG,Financial Analysis,RAG system for fundamental financial analysis with real-time data,https://youtu.be/Yh127JyQKk4,,
Trading Strategy,Bollinger RSI Strategy,Trading strategy combining Bollinger Bands and RSI crossover,https://youtu.be/AAt59vVByfg,,
Trading Analysis,Bollinger Z-Score,Financial trading analysis with Bollinger Bands and Z-Score,https://youtu.be/J29pgkZl0Rg,,
Trading Analysis,Bollinger-Fibonacci Strategy,Advanced strategy merging volatility analysis (Bollinger Bands) with Fibonacci retracement levels for precise entry/exit points,https://youtu.be/InywJwiuVQA,,
Trading Strategy,Connors RSI Strategy,Enhanced momentum oscillator with LangGraph integration for advanced mean reversion signals,https://youtu.be/cqKCr87u3io,,
Trading Strategy,MACD-Donchian Strategy,Momentum and breakout combination using MACD signals with Donchian Channel analysis,https://youtu.be/3b2E65YJOb8,,
Trading Strategy,Dual Moving Average Crossover,Classic institutional strategy featuring Golden Cross/Death Cross signals with AI-powered analysis and scoring,https://youtu.be/dHvJdmE-Xe4,,
Neo4j RAG,Neo4j RAG System,Natural language interface for graph databases enabling conversational data exploration and complex relationship analysis,https://youtu.be/wb3nYR3i120,,
MCP Client,Financial Analysis MCP Client,Comprehensive MCP client with financial analysis tools and multi-server support,https://youtu.be/N79AuX5Hn0U,,
MCP Platform,Claude AI MCP Custom Connector,"Multi-tenant MCP server platform with SQL database integration, Docker deployment, and production-ready authentication",https://youtu.be/6DwHnDNIA8c,,
MCP Tools,Neo4j Tools MCP Copilot,"Professional Neo4j report generator for event analytics with comprehensive visitor tracking, session analysis, and cross-event intelligence",https://youtu.be/ZcXWxoMSf5s,,
MCP Platform,Streamlit CRM & Graph Platform,"Full-stack AI-powered platform integrating Neo4j, HubSpot CRM, and Yahoo Finance with enterprise authentication",https://youtu.be/HUqk1nscRfM,,
MCP Development,Build MCP with LLMs,"Comprehensive guide to accelerate MCP server development using language models like Claude, with practical PDF document processor example",https://youtu.be/rxFowFcm1ZY,,
